	442	438	446	426	434	430
NM_177547_1_+_1	3.323	4.086	2.384	5.229	4.749	6.114
NM_133220_1_+_1	6.483	6.615	6.452	5.881	5.722	5.175
NR_024067_1_-_1	4.423	4.688	4.821	3.642	3.571	3.433
NM_008563_1_-_1	6.308	6.119	6.268	5.6	5.122	5.061
NR_002858_1_-_1	5.154	5.099	5.358	-4.912	-4.912	-4.912
NM_026604_1_-_1	3.094	3.451	2.671	3.8	4.095	4.69
NM_009918_1_+_1	2.383	2.512	1.677	-3.65	-2.205	-4.912
NM_001282010_1_+_1	-1.495	-1.334	-1.71	-4.527	-3.975	-4.912
NM_173870_1_-_1	4.738	4.971	4.921	3.955	4.479	4.255
NM_145142_1_-_1	3.776	4.206	3.844	5.779	5.64	5.939
NM_010555_1_+_1	5.05	5.304	5.624	7.031	6.829	7.047
NM_010879_1_+_1	5.208	4.937	4.967	3.747	4.358	4.268
NM_001081050_1_+_1	2.37	3.231	3.057	1.605	1.332	1.355
NM_011780_1_+_1	7.54	7.281	7.115	7.956	7.821	8.296
NM_029409_1_+_1	7.19	7.058	7.06	6.419	6.545	6.398
NM_001003948_1_-_1	6.19	6.233	5.914	4.91	4.921	5.078
NM_001081746_1_+_1	1.924	2.346	1.66	3.185	3.607	4.329
NM_175219_1_-_1	1.052	1.873	0.841	3.014	3.286	3.879
NM_201410_1_+_1	-4.912	-4.912	-4.912	3.762	2.711	2.387
NM_198652_1_-_1	3.597	3.292	3.528	1.913	2.767	1.237
NR_040291_1_-_1	5.201	4.744	5.166	3.156	3.267	3.631
NM_177305_1_-_1	6.504	6.599	6.649	5.757	5.854	6.166
NM_021537_1_-_1	5.27	5.498	5.39	4.715	4.783	4.371
NM_199366_1_+_1	1.794	1.673	2.02	-1.797	0.205	-1.441
NM_133825_1_-_1	6.515	6.239	6.272	5.88	6.073	5.661
NM_027677_1_+_1	-4.912	-4.912	-4.912	-0.271	0.577	-1.113
NM_145100_1_-_1	-4.912	-4.912	-4.912	5.088	5.397	5.003
NM_008575_1_-_1	1.309	1.774	1.8	-4.899	-4.712	-4.575
NM_213616_1_-_1	-1.428	-0.998	-1.584	2.754	2.805	1.535
NM_026024_1_+_1	4.353	4.477	4.974	2.112	2.572	1.179
NM_007791_1_+_1	5.725	5.64	5.368	4.124	3.6	3.815
NM_011267_1_+_1	-2.606	-4.912	-0.805	3.201	3.55	3.443
NM_130456_1_+_1	-4.912	-4.912	-4.912	0.796	0.632	0.369
NM_010177_1_-_1	-2.874	-2.786	-2.686	4.089	3.559	1.861
NM_025505_1_-_1	0.435	2.419	2.59	-0.003	-4.85	0.233
NM_025569_1_-_1	2.863	3.375	3.791	6.032	6.912	4.453
NM_001029984_1_-_1	-0.415	-1.167	-0.805	-2.51	-4.912	-4.912
NM_001081275_1_+_1	1.459	2.663	1.867	0.421	-1.679	1.143
NM_010185_1_-_1	10.214	10.31	10.411	9.679	9.775	9.957
NM_013919_1_-_1	5.128	4.857	4.715	5.72	5.49	5.47
NM_172647_1_+_1	3.506	4.195	3.078	4.484	4.346	4.203
NM_010584_1_-_1	-4.912	-4.912	-4.912	3.927	3.903	4.169
